group_id,group_name,members_id,members_name
1,Security & Safety,1,explosive detection
2,Computed,2,computed tomography
3,Security & Safety,"3,8,9","checked baggage screening, passenger checkpoint screening, cargo screening"
4,Security & Safety,4,homeland security
5,Security & Safety,5,airport security
6,Technology,"6,37","advanced technology, Technology"
7,Technology,"7,25,42,53,292","software engineering, Software Development, Software Developmen, Application development, app development"
8,Security & Safety,10,TSA approved screening equipment
9,Brand,"11,18,80,356","brand, branding, Brand Design, Brand Identity"
10,Design,"12,30,83,85,479","design, web design, Graphic Design, Creative Design, design and creative"
11,Retail & Shopping,"13,58,200,201,223","marketing, Internet Marketing, digital marketing, online marketing, Social Media Marketing"
12,Technology,"14,400,409","digital, Digital media, Digital Learning"
13,Strategy,"15,213","strategy, Design Strategy"
14,Insight,16,insight
15,Research,"17,288","research, Research and analysis"
16,Technology,19,copywriting
17,Technology,20,positioning
18,Saas,21,SaaS
19,Retail & Shopping,"22,289","B2B, B2B Marketing"
20,Technology,23,Packaging Design Software
21,Autocad,24,AutoCAD
22,Ipos,"26,27","IPO's on London Stock Exchange, IPO's on AIM"
23,Preipo,28,Pre-IPO fundraising for IPO costs
24,Internet,29,internet
25,Development,"31,52,239,260,267,280","web development, Website development, WEB and Mobile Development, Front-end development, Wordpress development, Mobile Development"
26,Retail & Shopping,32,search engine marketing
27,Social,"33,204","social media, instagram"
28,Effects,"34,393","Visual Effects, special effects"
29,Creative,35,Creative Direction
30,Innovation,36,Innovation
31,Immersive,38,Immersive Experiences
32,Education,39,Machine Learning
33,Transportation,"40,108","Animation, 3D animation"
34,Ai,"41,450","Ai, Artificial Intelligence"
35,Technology,43,Digital Skills
36,Coding,44,Coding
37,Technology,"45,339","Creativity, Creative"
38,Education,"46,66,214,411","Training and Development, Training, Learning & Development, Management Training"
39,Technology,47,Social Mobility
40,Technology,"48,51","Diversity, Diverse"
41,Apprenticeships,49,Apprenticeships
42,Talent,"50,176","Talent, Talent development"
43,Technology,"54,73,144,243,321","IT Consulting, IT Services, IT support, IT solutions, Customised IT solutions"
44,Technology,"55,408","Computer programming, Computer programming activities"
45,Seo,"56,266","SEO, Search engine optimisation"
46,Ecommerce,"57,134","Ecommerce, E-Commerce"
47,Technology,"59,277","DigitalTransformation, Digital Transformation"
48,General,60,CRM
49,Retail & Shopping,61,MarketingAutomation
50,Technology,62,TechnicalSEO
51,Studio,63,TV studio hire
52,Hire,"64,68,69,497,498,499,500,501,502,504","Space hire, event space, conference space, Conference venue hire, Exhibition venue hire, Wedding venue hire, Dinner venue hire, Awards ceremony venue hire, Corporate event venue hire, Fashion show venue hire"
53,Technology,65,Training facilities hire
54,Film,67,film location
55,Meeting,"70,359","meeting room, Meeting Rooms"
56,Technology,"71,340","production facilities, Production"
57,Technology,72,editing suites
58,Technology,"74,274","Computer consultancy activities, Computer consultancy"
59,Transportation,75,Truck Transportation
60,Transportation,76,Freight transport by road
61,Technology,"77,333","Recruitment, Talent Acquisition"
62,Retail & Shopping,"78,378","Sales, Wine Sales"
63,Hr,"79,413","HR, Human Resources"
64,Design,81,Design for Print
65,Services,82,Print Services
66,Logo,84,Logo Design
67,Stationery,86,Stationery Design
68,Services,"87,88,89","Gas services, Heating services, Boiler services"
69,Home,90,Home insulation
70,Services,"91,95","Renewable energy services, Photovoltaic (PV) services"
71,Plumbing,92,Plumbing
72,Heat,93,Heat installation
73,Technology,94,Air-conditioning installation
74,Boiler,96,boiler failure rescue
75,Breakdown,97,car breakdown rescue
76,Services,98,lost luggage assistance
77,Technology,99,technology troubleshooting
78,Services,100,personal rescue service
79,Nongeo,101,Non-Geo Phone Numbers
80,Operations,102,Online Call Management
81,Industry,103,Industry Leading Rebates
82,Numbers,"104,105,107","0800 Numbers, 0844 Numbers, 0845 Numbers"
83,Numbers,106,03 Numbers
84,Product,109,product rendering
85,Technology,"110,128","CGI images, Computer Generated Imagery"
86,Projects,111,VR and AR projects
87,Services,"112,335","consultancy, Consulting Services"
88,Technology,"113,114","EdTech, Educational Technology"
89,Technology,115,attendance monitoring
90,Education,116,learning management
91,Education,117,higher education
92,Education,118,education
93,Mortgages,119,Mortgages Advice
94,Loans,"120,140","Secured Loans, Unsecured loans"
95,Mortgages,121,Buy to Let Mortgages
96,First,122,First Time Buyer Mortgages
97,Right,123,Right to Buy
98,Insurance,124,Insurance
99,Google,125,Google street view tours
100,Corporate,"126,427,510","Corporate Video, Corporate photography, Videos - Corporate"
101,Technology,127,Virtual reality video
102,Technology,129,Virtual reality production
103,Bespoke,130,Bespoke 360 tours
104,Technology,131,Virtual reality training software
105,Audiovisual,132,Audiovisual Communication
106,Technology,133,Information Technology
107,Mobile,135,Mobile
108,General,136,PPC
109,Retail & Shopping,137,Inbound Marketing
110,Retail & Shopping,138,Email Marketing
111,Finance,139,Finance solutions
112,Technology,141,Working capital loans
113,Commercial,142,Commercial mortgages
114,Services,"143,259","Managed services, Managed support services"
115,Voip,145,VoIP telephony
116,Technology,146,Computer hardware supplies
117,Technology,147,Business Continuity
118,Technology,148,Cloud Services
119,Security & Safety,149,Cybersecurity
120,Compliance,150,Compliance
121,General,151,ADC
122,General,152,DAC
123,General,153,PLL
124,Technology,154,Data Converters
125,Conferences,155,Conferences
126,Technology,156,Exhibitions
127,Thought,157,Thought leadership
128,Education,158,Learning
129,Technology,159,Networking
130,Independent,160,Independent Record Label
131,Operations,"161,164","Music Management, Music Publishing"
132,Retail & Shopping,162,Online Stores
133,Sound,163,Sound Recording
134,Operations,165,Crisis & Risk Management
135,Operations,166,Branding & Reputation Management
136,Employee,"167,216","Employee Engagement & Labor Communications, Employee Engagement"
137,Technology,168,Digital & Social Marketing
138,Relations,"169,492","Media Relations, Public relations"
139,Technology,170,Executive Positioning
140,Transportation,171,Business-to-Business Communications
141,Technology,172,Citizenship & Corporate Social Responsibility
142,Content,"173,226,317,318","Content Creation, Content Marketing, Content Production, Media Production"
143,Video,"174,222","Video Production, Videography"
144,Paid,175,Paid internship programmes
145,Technology,177,Diversity and inclusion consulting
146,Mentoring,178,Mentoring
147,Technology,179,Data-driven insights
148,Services,180,Career readiness support
149,Kinesiology,181,Kinesiology
150,Physiotherapy,182,Physiotherapy
151,Chiropractor,183,Chiropractor
152,Osteopathy,184,Osteopathy
153,Personnel,185,Sports Clubs & Teams
154,First,186,First Aid
155,Science,187,Science Festivals
156,Education,188,Educational Productions
157,Luxury,189,Luxury garments
158,Hoodies,190,Hoodies
159,Tees,191,Tees
160,Hats,192,Hats
161,Retail & Shopping,193,Retail sale of clothing in specialised stores
162,Leadership,194,Leadership Inclusion
163,Beauty,195,Beauty Industry
164,Development,"196,334","Professional Development, Career Development"
165,Retail & Shopping,197,Retail sale in commercial art galleries
166,Advertsing,"198,338,366","advertsing, advertising, Adverts"
167,General,199,ads
168,Google,202,google
169,Facebook,203,facebook
170,Meta,205,meta
171,Retail & Shopping,206,Residential sales
172,Lettings,207,Lettings
173,Operations,208,Property management
174,Estate,"209,375","Real estate agencies, estate agency"
175,Real,"210,444","Real estate, Real estate investment"
176,Research,211,UX research
177,Technology,212,Qualitative Research
178,Upskilling,215,Upskilling
179,Genai,217,GenAI Adoption
180,Education,218,Lean Six Sigma Training
181,Transportation,219,Business Improvement
182,Operations,220,Change Management
183,Photography,"221,429","E-commerce photography, Product Photography"
184,Technology,"224,225","Blogging, Blog Writing"
185,Operations,227,Social Media Management
186,Technology,"228,466","Social Media Growth, Digital Growth"
187,Blog,229,Blog Articles
188,Retail & Shopping,230,LinkedIn Marketing
189,Medical & Healthcare,231,Hospitality
190,Hospitality,232,Hotels and similar accommodation
191,Library,233,Library
192,Food & Beverage,234,All-day dining
193,Food & Beverage,235,Private dining
194,Food & Beverage,236,Cocktail bar
195,Live,237,Live music entertainment
196,Technology,"238,285","Gym facilities, Fitness facilities"
197,Devops,240,DevOps
198,Design,"241,264","UX/UI Design, User experience design"
199,Startups,242,MVP for Startups
200,Technology,244,Computer Games
201,Technology,245,Publishing of computer games
202,Cost,246,Cost Control
203,Operations,247,Contract Administration
204,Technology,248,ITT (Invitation to tender)
205,Technology,"249,250","Technical Drawings, Construction Drawings"
206,Technology,251,Measured Site Surveys
207,Planning,252,Planning Applications
